Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,1,Beef Steak,200gm,White Rice and mixed vegetables,940
2,1,Cooked chicken,300gm,White Rice and mixed vegetables,922
3,250gm,Chicken/Beef Biryani,1,Raita,920
4,1,Beef Steak,200gm,White Rice and mixed vegetables,940
5,1,Beef steak,200gm,White Rice and mixed vegetables ,940
6,300gm ,Cooked Chicken,200gm,White Rice and mix Vegetables,922
7,1,Beef Steak,200gm,White Rice and mix Vegetables,940
8,300gm ,Beef Pulao,1,Raita,1020
9,1,Beef Steak,200gm,White Rice and mix Vegetables,940
10,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922
11,250gm ,Chicken/Beef Biryani ,1,Raita,920
12,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922
13,1,Beef Steak,200gm,White Rice and mix Vegetables,940
14,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922
15,300gm ,Beef Pulao,1,Raita,1020
16,1,Beef Steak,200gm,White Rice and mix Vegetables,940
17,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922
18,1,Beef Steak,200gm,White Rice and mix Vegetables,940
19,250gm,Chicken/Beef Biryani,1,Raita,920
20,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922
21,1,Beef Steak,200gm,White Rice and mix Vegetables,940
22,1,Beef Steak,250gm,White Rice and mix Vegetables,940
23,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922
24,300gm ,Beef Pulao,1,Raita,1020
25,1,Beef Steak,200gm,White Rice and mix Vegetables,940
26,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922
27,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922
28,250gm,Chicken/Beef Biryani,1,raita,920
29,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922
30,1,Beef Steak,200gm,White Rice and mix Vegetables,940
