Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,250gm,Keema Aalo,2,Paratha,920
2,3,Chapli kabab,2,Paratha ,970
3,3,Pakistani Omelette,2,Paratha,870
4,300gm,Murgh Cholay,2,Paratha,948
5,3,Chapli Kabab,2,Paratha ,970
6,250gm,Keema Alo,2,Paratha ,920
7,3,Pakistani Omelette,2,Paratha ,870
8,300gm,Murgh Cholay,2,Paratha,948
9,3,Chapli Kabab ,2,Paratha,970
10,250gm,Keema Aalo,2,Paratha,920
11,3,Pakistani Omelette,2,Paratha,870
12,300gm,Murgh Cholay,2,Paratha,948
13,3,Chapli kabab,2,Paratha ,970
14,250gm,Keema Aalo,2,Paratha,920
15,3,Pakistani Omelette,2,Paratha,870
16,300gm,Murgh Cholay,2,Paratha ,948
17,300gm,Murgh Cholay,2,Paratha,948
18,3,Chapli kabab,2,Paratha,970
19,250gm,Keema Aalo,2,Paratha,920
20,3,Pakistani Omelette,2,Paratha ,920
21,3,Chapli kabab,2,Paratha,970
22,300gm,Murgh Cholay,2,Paratha,948
23,3,Chapli kabab,2,Paratha ,970
24,300gm,Murgh Cholay,2,Paratha ,948
25,3,Pakistani Omelette,2,Paratha ,870
26,250gm,Keema Aalo,2,Paratha ,920
27,300gm,Murgh Cholay,2,Paratha,948
28,3,Chapli kabab,2,Paratha ,830
29,250gm,Keema Aalo,2,Paratha ,920
30,3,Pakistani Omelette,2,Paratha ,920
