Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,300gm,Chicken Karahi,2,Wheat Roti,952
2,300gm,Beef nihari,2,Wheat Roti,822
3,300gm,Alo Gosht,400gm ,White rice,1070
4,350gm,Pan Fried Fish,2,Wheat Roti,700
5,300gm,Beef Qorma,2,Wheat Roti,1043
6,300gm,Achar Gosh,2,Wheat Roti,1027
7,300gm,Pasanday,2,Wheat Roti,1060
8,300gm,Koftay,2,Wheat Roti,734
9,300gm,Daal Gosht,2,Wheat Roti,932
10,300gm,Beef nihari,2,Wheat Roti,822
11,300gm,Chicken Karahi,2,Wheat Roti,952
12,300gm,Beef Qorma,2,Wheat Roti,1043
13,200gm,Achar Gosh,2,Wheat Roti,1027
14,350gm,Pan Fried Fish,2,Wheat Roti,700
15,300gm,Daal Gosht,2,Wheat Roti,932
16,300gm,Koftay,2,Wheat Roti,734
17,300gm,Alo Gosht,400gm ,White rice,1070
18,300gm,Daal Gosht,2,Wheat Roti,932
19,300gm,Pasanday,2,Wheat Roti,1060
20,350gm,Pan Fried Fish,2,Wheat Roti,700
21,300gm,Koftay,2,Wheat Roti,734
22,300gm,Beef Qorma,2,Wheat Roti,1043
23,300gm,Beef nihari,2,Wheat Roti,822
24,300gm,Chicken Karahi,2,Wheat Roti,952
25,300gm ,Daal Gosht,2,Wheat Roti,932
26,300gm,Pasanday,2,Wheat Roti,1060
27,300gm,Achar Gosh,2,Wheat Roti,1027
28,300gm,Chicken Karahi,2,Wheat Roti,952
29,300gm,Alo Gosht,400gm ,White rice,1070
30,300gm,Beef nihari,2,Wheat Roti,822
