Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,1,Beef Steak,400gm,White Rice and mixed vegetables,1103
2,1,Cooked chicken,400gm,White Rice and mixed vegetables,1052
3,500gm,Chicken/Beef Biryani,1,Raita,1720
4,1,Beef Steak,200gm,White Rice and mixed vegetables,1103
5,1,Beef steak,200gm,White Rice and mixed vegetables ,1103
6,300gm ,Cooked Chicken,200gm,White Rice and mix Vegetables,1052
7,1,Beef Steak,200gm,White Rice and mix Vegetables,1103
8,300gm ,Beef Pulao,1,Raita,1720
9,1,Beef Steak,200gm,White Rice and mix Vegetables,1103
10,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,1052
11,250gm ,Chicken/Beef Biryani ,1,Raita,1720
12,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,1052
13,1,Beef Steak,200gm,White Rice and mix Vegetables,1103
14,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,1052
15,300gm ,Beef Pulao,1,Raita,1020
16,1,Beef Steak,200gm,White Rice and mix Vegetables,1720
17,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,1052
18,1,Beef Steak,200gm,White Rice and mix Vegetables,1103
19,250gm,Chicken/Beef Biryani,1,Raita,1720
20,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,1052
21,1,Beef Steak,200gm,White Rice and mix Vegetables,1103
22,1,Beef Steak,250gm,White Rice and mix Vegetables,1103
23,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,1052
24,300gm ,Beef Pulao,1,Raita,1020
25,1,Beef Steak,200gm,White Rice and mix Vegetables,1103
26,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,1052
27,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,1052
28,250gm,Chicken/Beef Biryani,1,raita,1720
29,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,1052
30,1,Beef Steak,200gm,White Rice and mix Vegetables,1103
