Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,1,Tea,1,Any fruit with 50gm Nuts,480
2,1,Tea,1,Any fruit with 50gm Nuts,480
3,1,Tea,1,Any fruit with 50gm Nuts,480
4,1,Tea,1,Any fruit with 50gm Nuts,480
5,1,Tea,1,Any fruit with 50gm Nuts,480
6,1,Tea,1,Any fruit with 50gm Nuts,480
7,1,Tea,1,Any fruit with 50gm Nuts,480
8,1,Tea,1,Any fruit with 50gm Nuts,480
9,1,Tea,1,Any fruit with 50gm Nuts,480
10,1,Tea,1,Any fruit with 50gm Nuts,480
11,1,Tea,1,Any fruit with 50gm Nuts,480
12,1,Tea,1,Any fruit with 50gm Nuts,480
13,1,Tea,1,Any fruit with 50gm Nuts,480
14,1,Tea,1,Any fruit with 50gm Nuts,480
15,1,Tea,1,Any fruit with 50gm Nuts,480
16,1,Tea,1,Any fruit with 50gm Nuts,480
17,1,Tea,1,Any fruit with 50gm Nuts,480
18,1,Tea,1,Any fruit with 50gm Nuts,480
19,1,Tea,1,Any fruit with 50gm Nuts,480
20,1,Tea,1,Any fruit with 50gm Nuts,480
21,1,Tea,1,Any fruit with 50gm Nuts,480
22,1,Tea,1,Any fruit with 50gm Nuts,480
23,1,Tea,1,Any fruit with 50gm Nuts,480
24,1,Tea,1,Any fruit with 50gm Nuts,480
25,1,Tea,1,Any fruit with 50gm Nuts,480
26,1,Tea,1,Any fruit with 50gm Nuts,480
27,1,Tea,1,Any fruit with 50gm Nuts,480
28,1,Tea,1,Any fruit with 50gm Nuts,480
29,1,Tea,1,Any fruit with 50gm Nuts,480
30,1,Tea,1,Any fruit with 50gm Nuts,480
