Plan Name,,Breakfast,,,,,Snack#1,,,,,Lunch,,,,,Snack#2,,,,,Dinner,,,,,Observations,
Paklife Bulking,Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Total Day Calories,Calories Burn
https://firebasestorage.googleapis.com/v0/b/paklife-fitness-app.appspot.com/o/Paklife%20Bulking%20Diet.jpg?alt=media&token=c92113cf-6e1d-40c2-80a7-290ab1c3d69a,1,200gm,Keema Aalo,2,Paratha,746,1,Tea,1,Any Fruit,260,1,Beef Steak,200gm,White Rice and mixed vegetables,940,2,Hard Boiled Eggs,1,Shami Kabab,340,240gm,Chicken Karahi,2,Wheat Roti,852,3138,2484
Data,2,2,Chapli kabab,2,Paratha ,830,1,Tea,1,Any fruit,260,1,Cooked chicken,300gm,White Rice and mixed vegetables,922,2,shami kabab,1,Boiled egg,446,240gm,Beef nihari,2,Wheat Roti,712,3170,2484
,3,2,Pakistani Omelette,2,Paratha,756,1,Tea,1,Amy fruit,260,250gm,Chicken/Beef Biryani,1,Raita,920,2,Hard Boiled Eggs,1,Shami Kabab,340,230gm,Alo Gosht,300gm ,White rice,860,3136,2484
,4,250gm,Murgh Cholay,2,Paratha,780,1,Tea,1,Any Fruit,260,1,Beef Steak,200gm,White Rice and mixed vegetables,940,2,hami Kabab ,1,Boiled egg,446,350gm,Pan Fried Fish,2,Wheat Roti,700,3124,2484
,5,2,Chapli Kabab,2,Paratha ,830,1,Tea,1,Any fruit,260,1,Beef steak,200gm,White Rice and mixed vegetables ,940,2,Hard boiled Eggs,1,Shami Kabab,340,260gm,Beef Qorma,2,Wheat Roti,898,3268,2484
,6,200gm,Keema Alo,2,Paratha ,746,1,Tea,1,Any Fruit,260,300gm ,Cooked Chicken,200gm,White Rice and mix Vegetables,922,2,Hard boiled Eggs,1,Shami Kabab,340,200gm,Achar Gosh,2,Wheat Roti,842,3108,2484
,7,2,Pakistani Omelette,2,Paratha ,756,1,Tea,1,Any Fruit,260,1,Beef Steak,200gm,White Rice and mix Vegetables,940,2,shami kabab,1,Boiled egg,446,200gm ,Pasanday,2,Wheat Roti,884,3286,2484
,8,250gm,Murgh Cholay,2,Paratha,778,1,Tea,1,Any Fruit,260,300gm ,Beef Pulao,1,Raita,1020,2,shami kabab,1,Boiled egg,446,300gm,Koftay,2,Wheat Roti,734,3238,2500
,9,2,Chapli Kabab ,2,Paratha,830,1,Tea,1,Any Fruit,260,1,Beef Steak,200gm,White Rice and mix Vegetables,940,2,Hard Boiled Eggs,1,Shami Kabab,340,300gm,Daal Gosht,2,Wheat Roti,932,3302,2500
,10,200gm,Keema Aalo,2,Paratha,746,1,Tea,1,Any Fruit,260,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922,2,Hard Boiled Eggs,1,Shami Kabab,340,250gm,Beef nihari,2,Wheat Roti,732,3002,2500
,11,2,Pakistani Omelette,2,Paratha,756,1,Tea,1,Any Fruit,260,250gm ,Chicken/Beef Biryani ,1,Raita,920,2,shami kabab,1,Boiled egg,446,240gm,Chicken Karahi,2,Wheat Roti,852,3234,2500
,12,250gm,Murgh Cholay,2,Paratha,778,1,Tea,1,Any Fruit,260,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922,2,Hard Boiled Eggs,1,Shami Kabab,340,260gm,Beef Qorma,2,Wheat Roti,898,3198,2500
,13,2,Chapli kabab,2,Paratha ,830,1,Tea,1,Any Fruit,260,1,Beef Steak,200gm,White Rice and mix Vegetables,940,2,shami kabab,1,Boiled egg,446,200gm,Achar Gosh,2,Wheat Roti,842,3318,2500
,14,200gm,Keema Aalo,2,Paratha,746,1,Tea,1,Any Fruit,260,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922,2,Hard Boiled Eggs,1,Shami Kabab,340,350gm,Pan Fried Fish,2,Wheat Roti,700,2968,2500
,15,2,Pakistani Omelette,2,Paratha,756,1,Tea,1,Any Fruit,260,300gm ,Beef Pulao,1,Raita,1020,2,shami kabab,1,Boiled egg,446,300gm,Daal Gosht,2,Wheat Roti,932,3414,2500
,16,250gm,Murgh Cholay,2,Paratha ,778,1,Tea,1,Any Fruit,260,1,Beef Steak,200gm,White Rice and mix Vegetables,940,2,shami kabab,1,Boiled egg,446,300gm,Koftay,2,Wheat Roti,734,3158,2500
,17,250gm,Murgh Cholay,2,Paratha,778,1,Tea,1,Any Fruit,260,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922,2,Hard Boiled Eggs,1,Shami Kabab,340,230gm,Alo Gosht,300gm ,White rice,860,3160,2500
,18,2,Chapli kabab,2,Paratha,830,1,Tea,1,Any Fruit,260,1,Beef Steak,200gm,White Rice and mix Vegetables,940,2,shami kabab,1,Boiled egg,446,300gm,Daal Gosht,2,Wheat Roti,932,3408,2526
,19,200gm,Keema Aalo,2,Paratha,746,1,Tea,1,Any Fruit,260,250gm,Chicken/Beef Biryani,1,Raita,920,2,Hard Boiled Eggs,1,Shami Kabab,340,200gm,Pasanday,2,Wheat Roti,884,3150,2526
,20,2,Pakistani Omelette,2,Paratha ,746,1,Tea,1,Any Fruit,260,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922,2,shami kabab,1,Boiled egg,446,350gm,Pan Fried Fish,2,Wheat Roti,700,3084,2526
,21,2,Chapli kabab,2,Paratha,830,1,Tea,1,Any Fruit,260,1,Beef Steak,200gm,White Rice and mix Vegetables,940,2,Hard Boiled Eggs,1,Shami Kabab,340,300gm,Koftay,2,Wheat Roti,734,3104,2526
,22,250gm,Murgh Cholay,2,Paratha,778,1,Tea,1,Any Fruit,260,1,Beef Steak,250gm,White Rice and mix Vegetables,940,2,shami kabab,1,Boiled egg,446,260gm,Beef Qorma,2,Wheat Roti,898,3322,2526
,23,2,Chapli kabab,2,Paratha ,830,1,Tea,1,Any Fruit,260,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922,2,shami kabab,1,Boiled egg,446,240gm,Beef nihari,2,Wheat Roti,712,3170,2526
,24,250gm,Murgh Cholay,2,Paratha ,778,1,Tea,1,Any Fruit,260,300gm ,Beef Pulao,1,Raita,1020,2,Hard Boiled Eggs,1,Shami Kabab,340,240gm,Chicken Karahi,2,Wheat Roti,852,3250,2526
,25,2,Pakistani Omelette,2,Paratha ,756,1,Tea,1,Any Fruit,260,1,Beef Steak,200gm,White Rice and mix Vegetables,940,2,shami kabab,1,Boiled egg,446,300gm ,Daal Gosht,2,Wheat Roti,932,3334,2526
,26,200gm,Keema Aalo,2,Paratha ,746,1,Tea,1,Any Fruit,260,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922,2,Hard Boiled Eggs,1,Shami Kabab,340,200gm,Pasanday,2,Wheat Roti,884,3152,2526
,27,250gm,Murgh Cholay,2,Paratha,778,1,Tea,1,Any Fruit,260,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922,2,shami kabab,1,Boiled egg,446,200gm,Achar Gosh,2,Wheat Roti,842,3142,2526
,28,2,Chapli kabab,2,Paratha ,830,1,Tea,1,Any Fruit,260,250gm,Chicken/Beef Biryani,1,raita,920,2,Hard Boiled Eggs,1,Shami Kabab,340,240gm,Chicken Karahi,2,Wheat Roti,852,3202,2526
,29,200gm,Keema Aalo,2,Paratha ,746,1,Tea,1,Any Fruit,260,300gm ,Cooked chicken,200gm,White Rice and mix Vegetables,922,2,hard Boiled Eggs,1,Shami Kabab,340,230gm,Alo Gosht,300gm ,White rice,860,3128,2526
,30,2,Pakistani Omelette,2,Paratha ,746,1,Tea,1,Any Fruit,260,1,Beef Steak,200gm,White Rice and mix Vegetables,940,2,shami kabab,1,Boiled egg,446,240gm,Beef nihari,2,Wheat Roti,712,3114,2546
,Total,,,,Total Breakfast,,,,,,,,,,,Total Lunch,,,,,,,,,,Total Dinner,95782,75246
