Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,240gm,Chicken Karahi,2,Wheat Roti,852
2,240gm,Beef nihari,2,Wheat Roti,712
3,230gm,Alo Gosht,300gm ,White rice,860
4,350gm,Pan Fried Fish,2,Wheat Roti,700
5,260gm,Beef Qorma,2,Wheat Roti,898
6,200gm,Achar Gosh,2,Wheat Roti,842
7,200gm ,Pasanday,2,Wheat Roti,884
8,300gm,Koftay,2,Wheat Roti,734
9,300gm,Daal Gosht,2,Wheat Roti,932
10,250gm,Beef nihari,2,Wheat Roti,732
11,240gm,Chicken Karahi,2,Wheat Roti,852
12,260gm,Beef Qorma,2,Wheat Roti,898
13,200gm,Achar Gosh,2,Wheat Roti,842
14,350gm,Pan Fried Fish,2,Wheat Roti,700
15,300gm,Daal Gosht,2,Wheat Roti,932
16,300gm,Koftay,2,Wheat Roti,734
17,230gm,Alo Gosht,300gm ,White rice,860
18,300gm,Daal Gosht,2,Wheat Roti,932
19,200gm,Pasanday,2,Wheat Roti,884
20,350gm,Pan Fried Fish,2,Wheat Roti,700
21,300gm,Koftay,2,Wheat Roti,734
22,260gm,Beef Qorma,2,Wheat Roti,898
23,240gm,Beef nihari,2,Wheat Roti,712
24,240gm,Chicken Karahi,2,Wheat Roti,852
25,300gm ,Daal Gosht,2,Wheat Roti,932
26,200gm,Pasanday,2,Wheat Roti,884
27,200gm,Achar Gosh,2,Wheat Roti,842
28,240gm,Chicken Karahi,2,Wheat Roti,852
29,230gm,Alo Gosht,300gm ,White rice,860
30,240gm,Beef nihari,2,Wheat Roti,712
