Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,2,Hard Boiled Eggs,1,Shami Kabab,340
2,2,shami kabab,1,Boiled egg,446
3,2,Hard Boiled Eggs,1,Shami Kabab,340
4,2,hami Kabab ,1,Boiled egg,446
5,2,Hard boiled Eggs,1,Shami Kabab,340
6,2,Hard boiled Eggs,1,Shami Kabab,340
7,2,shami kabab,1,Boiled egg,446
8,2,shami kabab,1,Boiled egg,446
9,2,Hard Boiled Eggs,1,Shami Kabab,340
10,2,Hard Boiled Eggs,1,Shami Kabab,340
11,2,shami kabab,1,Boiled egg,446
12,2,Hard Boiled Eggs,1,Shami Kabab,340
13,2,shami kabab,1,Boiled egg,446
14,2,Hard Boiled Eggs,1,Shami Kabab,340
15,2,shami kabab,1,Boiled egg,446
16,2,shami kabab,1,Boiled egg,446
17,2,Hard Boiled Eggs,1,Shami Kabab,340
18,2,shami kabab,1,Boiled egg,446
19,2,Hard Boiled Eggs,1,Shami Kabab,340
20,2,shami kabab,1,Boiled egg,446
21,2,Hard Boiled Eggs,1,Shami Kabab,340
22,2,shami kabab,1,Boiled egg,446
23,2,shami kabab,1,Boiled egg,446
24,2,Hard Boiled Eggs,1,Shami Kabab,340
25,2,shami kabab,1,Boiled egg,446
26,2,Hard Boiled Eggs,1,Shami Kabab,340
27,2,shami kabab,1,Boiled egg,446
28,2,Hard Boiled Eggs,1,Shami Kabab,340
29,2,hard Boiled Eggs,1,Shami Kabab,340
30,2,shami kabab,1,Boiled egg,446
