Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,2,Eggs fried in butter,1,Paratha,373
2,1,Mushroom omelet,1,Paratha ,415
3,1,Pakistani Omelette,1,Paratha,378
4,3,Egg Muffins,1,Paratha,410
5,2,Eggs fried in butter,1,Paratha,373
6,1,Mushroom omelet,1,Paratha ,415
7,1,Pakistani Omelette,1,Paratha,378
8,3,Egg Muffins,1,Paratha,410
9,2,Eggs fried in butter,1,Paratha,373
10,1,Mushroom omelet,1,Paratha ,415
11,1,Pakistani Omelette,1,Paratha,378
12,3,Egg Muffins,1,Paratha,410
13,2,Eggs fried in butter,1,Paratha,373
14,1,Mushroom omelet,1,Paratha ,415
15,1,Pakistani Omelette,1,Paratha,378
16,3,Egg Muffins,1,Paratha,410
17,2,Eggs fried in butter,1,Paratha,373
18,1,Mushroom omelet,1,Paratha ,415
19,1,Pakistani Omelette,1,Paratha,378
20,3,Egg Muffins,1,Paratha,410
21,2,Eggs fried in butter,1,Paratha,373
22,1,Mushroom omelet,1,Paratha ,415
23,1,Pakistani Omelette,1,Paratha,378
24,3,Egg Muffins,1,Paratha,410
25,2,Eggs fried in butter,1,Paratha,373
26,1,Mushroom omelet,1,Paratha ,415
27,1,Pakistani Omelette,1,Paratha,378
28,3,Egg Muffins,1,Paratha,410
29,2,Eggs fried in butter,1,Paratha,373
30,1,Mushroom omelet,1,Paratha ,415
