Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,1,Hard Boiled Eggs, ,None,78
2,50gm,Mixed Nuts, ,None,184
3,1,Hard Boiled Eggs, ,None,78
4,50gm,Mixed Nuts, ,None,184
5,1,Hard Boiled Eggs, ,None,78
6,1,Hard Boiled Eggs, ,None,78
7,50gm,Mixed Nuts, ,None,184
8,50gm,Mixed Nuts, ,None,184
9,1,Hard Boiled Eggs, ,None,78
10,1,Hard Boiled Eggs, ,None,78
11,50gm,Mixed Nuts, ,None,184
12,1,Hard Boiled Eggs, ,None,78
13,50gm,Mixed Nuts, ,None,184
14,1,Hard Boiled Eggs, ,None,78
15,50gm,Mixed Nuts, ,None,184
16,50gm,Mixed Nuts, ,None,184
17,1,Hard Boiled Eggs, ,None,78
18,50gm,Mixed Nuts, ,None,184
19,1,Hard Boiled Eggs, ,None,78
20,50gm,Mixed Nuts, ,None,184
21,1,Hard Boiled Eggs, ,None,78
22,50gm,Mixed Nuts, ,None,184
23,50gm,Mixed Nuts, ,None,184
24,1,Hard Boiled Eggs, ,None,78
25,50gm,Mixed Nuts, ,None,184
26,1,Hard Boiled Eggs, ,None,78
27,50gm,Mixed Nuts, ,None,184
28,1,Hard Boiled Eggs, ,None,78
29,1,Hard Boiled Eggs, ,None,78
30,1,Mixed Nuts, ,None,184
