Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,2,Hard Boiled Eggs, ,None,0
2,2,Hard Boiled Eggs, ,None,0
3,2,Hard Boiled Eggs, ,None,0
4,2,Hard Boiled Eggs, ,None,0
5,2,Hard boiled Eggs, ,None,0
6,2,Hard boiled Eggs, ,None,0
7,2,Hard boiled Eggs, ,None,0
8,2,Hard Boiled Eggs, ,None,0
9,2,Hard Boiled Eggs, ,None,0
10,2,Hard Boiled Eggs, ,None,0
11,2,Hard Boiled Eggs, ,None,0
12,2,Hard Boiled Eggs, ,None,0
13,2,Hard Boiled Eggs, ,None,0
14,2,Hard Boiled Eggs, ,None,0
15,2,Hard Boiled Eggs, ,None,0
16,2,Hard Boiled Eggs, ,None,0
17,2,Hard Boiled Eggs, ,None,0
18,2,Hard Boiled Eggs, ,None,0
19,2,Hard Boiled Eggs, ,None,0
20,2,Hard Boiled Eggs, ,None,0
21,2,Hard Boiled Eggs, ,None,0
22,2,Hard Boiled Eggs, ,None,0
23,2,Hard Boiled Eggs, ,None,0
24,2,Hard Boiled Eggs, ,None,0
25,2,Hard Boiled Eggs, ,None,0
26,2,Hard Boiled Eggs, ,None,0
27,2,Hard Boiled Eggs, ,None,0
28,2,Hard Boiled Eggs, ,None,0
29,2,Hard Boiled Eggs, ,None,0
30,2,hard Boiled Eggs, ,None,0
