Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,120gm,Palak Paneer,1,Wheat Roti,426
2,120gm,Zeera Aloo Sabzi,1,Wheat Roti,456
3,120gm,Daal Chawal,200gm ,White rice,495
4,200gm,Mix Sabzi,1,Wheat Roti,480
5,130gm,Vegetable Jalfarezi,1,Wheat Roti,449
6,150gm,Achari Sabzi,1,Wheat Roti,570
7,100gm ,Bhagar-e-Bengan,1,Wheat Roti,442
8,200gm,Vegetable Koftay,1,Wheat Roti,520
9,150gm,Kaali Daal,1,Wheat Roti,466
10,120gm,Zeera Aloo Sabzi,1,Wheat Roti,456
11,120gm,Palak Paneer,1,Wheat Roti,426
12,130gm,Vegetable Jalfarezi,1,Wheat Roti,449
13,150gm,Achari Sabzi,1,Wheat Roti,570
14,200gm,Mix Sabzi,1,Wheat Roti,480
15,150gm,Alo Gajar Sabzi,1,Wheat Roti,466
16,200gm,Vegetable Koftay,1,Wheat Roti,520
17,120gm,Daal Chawal,200gm ,White rice,495
18,150gm,Alo Gajar Sabzi,1,Wheat Roti,466
19,100gm ,Bhagar-e-Bengan,1,Wheat Roti,442
20,200gm,Mix Sabzi,1,Wheat Roti,480
21,200gm,Vegetable Koftay,1,Wheat Roti,520
22,130gm,Vegetable Jalfarezi,1,Wheat Roti,449
23,120gm,Zeera Aloo Sabzi,1,Wheat Roti,456
24,120gm,Palak Paneer,1,Wheat Roti,426
25,150gm,Alo Gajar Sabzi,1,Wheat Roti,466
26,100gm ,Bhagar-e-Bengan,1,Wheat Roti,442
27,150gm,Achari Sabzi,1,Wheat Roti,570
28,120gm,Palak Paneer,1,Wheat Roti,426
29,120gm,Daal Chawal,200gm ,White rice,495
30,120gm,Zeera Aloo Sabzi,1,Wheat Roti,456
