Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,1,Mix Vegetable Sandwich,50gm,Mix Dry Fruits,710
2,150gm,Vegetable Salad,50gm,Mix Dry Fruits,700
3,200gm,Chana/Egg Biryani, ,None,680
4,1,Mix Vegetable Sandwich,50gm,Mix Dry Fruits,710
5,1,Mix Vegetable Sandwich,50gm,Mix Dry Fruits,710
6,150gm,Vegetable Salad,50gm,Mix Dry Fruits,700
7,1,Mix Vegetable Sandwich,50gm,Mix Dry Fruits,710
8,200gm ,Aalo Tahiri,1,Raita,650
9,1,Mix Vegetable Sandwich,50gm,Mix Dry Fruits,710
10,150gm,Vegetable Salad,50gm,Mix Dry Fruits,700
11,200gm,Chana/Egg Biryani, ,None,680
12,150gm,Vegetable Salad,50gm,Mix Dry Fruits,700
13,1,Mix Vegetable Sandwich,50gm,Mix Dry Fruits,710
14,150gm,Vegetable Salad,50gm,Mix Dry Fruits,700
15,200gm ,Aalo Tahiri,1,Raita,650
16,1,Mix Vegetable Sandwich,50gm,Mix Dry Fruits,710
17,150gm,Vegetable Salad,50gm,Mix Dry Fruits,700
18,1,Mix Vegetable Sandwich,50gm,Mix Dry Fruits,710
19,200gm,Chana/Egg Biryani, ,None,680
20,150gm,Vegetable Salad,50gm,Mix Dry Fruits,700
21,1,Mix Vegetable Sandwich,50gm,Mix Dry Fruits,710
22,1,Mix Vegetable Sandwich,50gm,Mix Dry Fruits,710
23,150gm,Vegetable Salad,50gm,Mix Dry Fruits,700
24,200gm ,Aalo Tahiri,1,Raita,650
25,1,Mix Vegetable Sandwich,50gm,Mix Dry Fruits,710
26,150gm,Vegetable Salad,50gm,Mix Dry Fruits,700
27,150gm,Vegetable Salad,50gm,Mix Dry Fruits,700
28,200gm,Chana/Egg Biryani, ,None,680
29,150gm,Vegetable Salad,50gm,Mix Dry Fruits,700
30,1,Mix Vegetable Sandwich,50gm,Mix Dry Fruits,710
