Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,1,Beef Steak,100gm, Mixed vegetables,710
2,150gm,Cooked chicken,100gm,Mixed vegetables,700
3,200gm,Chicken/Beef Biryani,,,680
4,1,Beef Steak,100gm,Mixed vegetables,710
5,1,Beef Steak,100gm,Mixed vegetables,710
6,150gm,Cooked chicken,100gm,Mixed vegetables,700
7,1,Beef Steak,100gm,Mixed vegetables,710
8,200gm ,Beef Pulao,1,Raita,650
9,1,Beef Steak,100gm,Mixed vegetables,710
10,150gm,Cooked chicken,100gm,Mixed vegetables,700
11,200gm,Chicken/Beef Biryani,,,680
12,150gm,Cooked chicken,100gm,Mixed vegetables,700
13,1,Beef Steak,100gm,Mixed vegetables,710
14,150gm,Cooked chicken,100gm,Mixed vegetables,700
15,200gm ,Beef Pulao,1,Raita,650
16,1,Beef Steak,100gm,Mixed vegetables,710
17,150gm,Cooked chicken,100gm,Mixed vegetables,700
18,1,Beef Steak,100gm,Mixed vegetables,710
19,200gm,Chicken/Beef Biryani,,,680
20,150gm,Cooked chicken,100gm,Mixed vegetables,700
21,1,Beef Steak,100gm,Mixed vegetables,710
22,1,Beef Steak,100gm,Mixed vegetables,710
23,150gm,Cooked chicken,100gm,Mixed vegetables,700
24,200gm ,Beef Pulao,1,Raita,650
25,1,Beef Steak,100gm,Mixed vegetables,710
26,150gm,Cooked chicken,100gm,Mixed vegetables,700
27,150gm,Cooked chicken,100gm,Mixed vegetables,700
28,200gm,Chicken/Beef Biryani,,,680
29,150gm,Cooked chicken,100gm,Mixed vegetables,700
30,1,Beef Steak,100gm,Mixed vegetables,710
