Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,1,Tea,1,Any Fruit,260
2,1,Tea,1,Any fruit,260
3,1,Tea,1,Amy fruit,260
4,1,Tea,1,Any Fruit,260
5,1,Tea,1,Any fruit,260
6,1,Tea,1,Any Fruit,260
7,1,Tea,1,Any Fruit,260
8,1,Tea,1,Any Fruit,260
9,1,Tea,1,Any Fruit,260
10,1,Tea,1,Any Fruit,260
11,1,Tea,1,Any Fruit,260
12,1,Tea,1,Any Fruit,260
13,1,Tea,1,Any Fruit,260
14,1,Tea,1,Any Fruit,260
15,1,Tea,1,Any Fruit,260
16,1,Tea,1,Any Fruit,260
17,1,Tea,1,Any Fruit,260
18,1,Tea,1,Any Fruit,260
19,1,Tea,1,Any Fruit,260
20,1,Tea,1,Any Fruit,260
21,1,Tea,1,Any Fruit,260
22,1,Tea,1,Any Fruit,260
23,1,Tea,1,Any Fruit,260
24,1,Tea,1,Any Fruit,260
25,1,Tea,1,Any Fruit,260
26,1,Tea,1,Any Fruit,260
27,1,Tea,1,Any Fruit,260
28,1,Tea,1,Any Fruit,260
29,1,Tea,1,Any Fruit,260
30,1,Tea,1,Any Fruit,260
