Plan Name,,Breakfast,,,,,Snack#1,,,,,Lunch,,,,,Snack#2,,,,,Dinner,,,,,Observations,,,,,,,,,,,,,
Weight Loss,Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Total Day Calories,Calories Burn,,,,,,,,,,,,
Weight-Loss-65.jpg,1,100gm,Keema Aalo,1,Wheat Roti,300,1,Tea,1,Any Fruit,260,1,Beef Steak,100gm, Mixed vegetables,710,1,,,,,120gm,Chicken Karahi,1,Wheat Roti,426,,,,,,,,,,,,,,
Data,2,1,Chapli kabab,1,Wheat Roti,270,1,Tea,1,Any fruit,260,150gm,Cooked chicken,100gm,Mixed vegetables,700,1,,,,,120gm,Beef nihari,1,Wheat Roti,456,1696,2244,,,,,,,,,,,,
,3,1,Pakistani Omelette,1,Wheat Roti,300,1,Tea,1,Any fruit,260,200gm,Chicken/Beef Biryani,,,680,1,,,,,120gm,Alo Gosht,200gm ,White rice,495,1686,2244,,,,,,,,,,,,
,4,150gm,Murgh Cholay,1,Wheat Roti,345,1,Tea,1,Any Fruit,260,1,Beef Steak,100gm,Mixed vegetables,710,1,,,,,200gm,Pan Fried Fish,1,Wheat Roti,480,1735,2244,,,,,,,,,,,,
,5,1,Chapli kabab,1,Wheat Roti,345,1,Tea,1,Any fruit,260,1,Beef Steak,100gm,Mixed vegetables,710,1,,,,,130gm,Beef Qorma,1,Wheat Roti,449,1795,2244,,,,,,,,,,,,
,6,100gm,Keema Aalo,1,Wheat Roti,270,1,Tea,1,Any Fruit,260,150gm,Cooked chicken,100gm,Mixed vegetables,700,1,,,,,150gm,Achar Gosh,1,Wheat Roti,570,1764,2244,,,,,,,,,,,,
,7,1,Pakistani Omelette,1,Wheat Roti,300,1,Tea,1,Any Fruit,260,1,Beef Steak,100gm,Mixed vegetables,710,1,,,,,100gm ,Pasanday,1,Wheat Roti,442,1800,2244,,,,,,,,,,,,
,8,150gm,Murgh Cholay,1,Wheat Roti,345,1,Tea,1,Any Fruit,260,200gm ,Beef Pulao,1,Raita,650,1,,,,,200gm,Koftay,1,Wheat Roti,520,1712,2244,,,,,,,,,,,,
,9,1,Chapli kabab,1,Wheat Roti,270,1,Tea,1,Any Fruit,260,1,Beef Steak,100gm,Mixed vegetables,710,1,,,,,150gm,Daal Gosht,1,Wheat Roti,466,1775,2244,,,,,,,,,,,,
,10,100gm,Keema Aalo,1,Wheat Roti,300,1,Tea,1,Any Fruit,260,150gm,Cooked chicken,100gm,Mixed vegetables,700,1,,,,,120gm,Beef nihari,1,Wheat Roti,456,1706,2240,,,,,,,,,,,,
