Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,1,Hard Boiled Eggs, ,None,78
2,1,shami kabab, ,None,184
3,1,Hard Boiled Eggs, ,None,78
4,1,shami kabab, ,None,184
5,1,Hard Boiled Eggs, ,None,78
6,1,Hard Boiled Eggs, ,None,78
7,1,shami kabab, ,None,184
8,1,shami kabab, ,None,184
9,1,Hard Boiled Eggs, ,None,78
10,1,Hard Boiled Eggs, ,None,78
11,1,shami kabab, ,None,184
12,1,Hard Boiled Eggs, ,None,78
13,1,shami kabab, ,None,184
14,1,Hard Boiled Eggs, ,None,78
15,1,shami kabab, ,None,184
16,1,shami kabab, ,None,184
17,1,Hard Boiled Eggs, ,None,78
18,1,shami kabab, ,None,184
19,1,Hard Boiled Eggs, ,None,78
20,1,shami kabab, ,None,184
21,1,Hard Boiled Eggs, ,None,78
22,1,shami kabab, ,None,184
23,1,shami kabab, ,None,184
24,1,Hard Boiled Eggs, ,None,78
25,1,shami kabab, ,None,184
26,1,Hard Boiled Eggs, ,None,78
27,1,shami kabab, ,None,184
28,1,Hard Boiled Eggs, ,None,78
29,1,Hard Boiled Eggs, ,None,78
30,1,shami kabab, ,None,184
